Product,Description,Price,Available amount,Product category,Date created,Date modified
iPhone 12,"Latest model from Apple",999,20,Phone,2024-06-05,2024-06-05
Samsung Galaxy S21,"Flagship Android smartphone",899,15,Phone,2024-06-05,2024-06-05
Google Pixel 5,"High-quality camera phone",799,10,Phone,2024-06-05,2024-06-05
iPhone 12 Pro Max,"Premium iPhone model",1099,25,Phone,2024-06-05,2024-06-05
Samsung Galaxy Note 20,"Large screen smartphone",999,18,Phone,2024-06-05,2024-06-05
JBL Wireless Earbuds,"Bluetooth earbuds",99,30,Phone Accessory,2024-06-05,2024-06-05
Apple AirPods Pro,"Noise-cancelling earbuds",199,25,Phone Accessory,2024-06-05,2024-06-05
Samsung Galaxy Buds,"Wireless earbuds",149,20,Phone Accessory,2024-06-05,2024-06-05
Logitech Wireless Mouse,"Ergonomic mouse",49,40,Computer Accessory,2024-06-05,2024-06-05
Apple Magic Keyboard,"Wireless keyboard for Mac",129,30,Computer Accessory,2024-06-05,2024-06-05
Samsung 27-Inch Monitor,"High-resolution display",299,20,Computer Accessory,2024-06-05,2024-06-05
HP Pavilion Laptop,"Mid-range laptop",699,15,Computer,2024-06-05,2024-06-05
Dell XPS 13,"Premium ultrabook",1299,10,Computer,2024-06-05,2024-06-05
Lenovo ThinkPad,"Business-class laptop",999,12,Computer,2024-06-05,2024-06-05
Microsoft Surface Pro 7,"Versatile 2-in-1 device",899,18,Computer,2024-06-05,2024-06-05
iPhone 11,"Previous generation iPhone",699,10,Phone,2024-06-05,2024-06-05
Samsung Galaxy A52,"Mid-range Android phone",399,20,Phone,2024-06-05,2024-06-05
Logitech Webcam,"HD webcam",79,25,Computer Accessory,2024-06-05,2024-06-05
Apple Watch Series 6,"Smartwatch with fitness tracking",399,15,Phone Accessory,2024-06-05,2024-06-05
Samsung Galaxy Watch 4,"Android-compatible smartwatch",349,10,Phone Accessory,2024-06-05,2024-06-05
Microsoft Office 365,"Subscription-based productivity suite",69,30,Computer Software,2024-06-05,2024-06-05
Norton Antivirus,"Security software",49,25,Computer Software,2024-06-05,2024-06-05
Logitech Gaming Keyboard,"Mechanical gaming keyboard",129,20,Computer Accessory,2024-06-05,2024-06-05
Razer Gaming Mouse,"High-precision gaming mouse",79,15,Computer Accessory,2024-06-05,2024-06-05
iPhone SE,"Compact iPhone model",399,10,Phone,2024-06-05,2024-06-05
Samsung Galaxy Tab S7,"Android tablet with S Pen",649,8,Tablet,2024-06-05,2024-06-05
Apple iPad Pro,"Powerful iPad model",799,12,Tablet,2024-06-05,2024-06-05
Lenovo Chromebook,"Affordable Chrome OS laptop",249,15,Computer,2024-06-05,2024-06-05
Google Nest Hub,"Smart display with Google Assistant",99,20,Smart Home,2024-06-05,2024-06-05
